id,name,uri
7fw1xC8CxyRiCz7XJiz47k,La Campanera,spotify:track:7fw1xC8CxyRiCz7XJiz47k
1S0rYS8OvwWwzUsDbsWEp4,Las Marmotas,spotify:track:1S0rYS8OvwWwzUsDbsWEp4
1sdWXIMZe8mBwzLC8jKdq7,Cumbia del Mole,spotify:track:1sdWXIMZe8mBwzLC8jKdq7
7vrGA0eO9lmhNaEO0wgNxH,Freedom - Strings & Keys,spotify:track:7vrGA0eO9lmhNaEO0wgNxH
01Wc4KXfBMXdfVpKcsEGbL,Ice Tea Liberace,spotify:track:01Wc4KXfBMXdfVpKcsEGbL
4c2z1wyBQOUSOysKADXc5N,NASA's Fake,spotify:track:4c2z1wyBQOUSOysKADXc5N
3F3kuVUBArOls1ZSceQxcA,Pipe Dream,spotify:track:3F3kuVUBArOls1ZSceQxcA
5X1jZLs8oZt7zvZ2Gr9wul,Hustle,spotify:track:5X1jZLs8oZt7zvZ2Gr9wul
35HXnvswjdVWjQRmqtXPJD,Maldad (with Maluma),spotify:track:35HXnvswjdVWjQRmqtXPJD
71ZOkID4M22KEdTAhIN6Rq,"Fire, Ready, Aim",spotify:track:71ZOkID4M22KEdTAhIN6Rq
0VSzREd1OjEWJ9tXoFHRQH,Those Kinda Nights (feat. Ed Sheeran),spotify:track:0VSzREd1OjEWJ9tXoFHRQH
7ccTcabbJlCJiIqtrSSwBk,Premonition - Intro,spotify:track:7ccTcabbJlCJiIqtrSSwBk
1H3Okhf16ttAICZF7zgDko,killing boys,spotify:track:1H3Okhf16ttAICZF7zgDko
3uHVGtuZMXtfJpwS63GNOL,A Drink from the Trough,spotify:track:3uHVGtuZMXtfJpwS63GNOL
37TBb9hRMCzPMqAQvxDfOl,Tourists,spotify:track:37TBb9hRMCzPMqAQvxDfOl
6F2czMu3r2orV7CR3uMfqE,Dear Old Dad,spotify:track:6F2czMu3r2orV7CR3uMfqE
3vI4Q3zlDLveecr7guS4n7,(Maybe We Are),spotify:track:3vI4Q3zlDLveecr7guS4n7
5jKBxNnQEs2gOtQkyBJF2z,They Think We're Stupid,spotify:track:5jKBxNnQEs2gOtQkyBJF2z
3QypfBCWAsiidMeBb9KOGq,A Jug in the Road,spotify:track:3QypfBCWAsiidMeBb9KOGq
0cUx2cP5A8Tksgh7dCZ6CI,Way You Are,spotify:track:0cUx2cP5A8Tksgh7dCZ6CI
23TYwlHq8oG2kT0h7EILln,Never Meant to Love You,spotify:track:23TYwlHq8oG2kT0h7EILln
5yuzTsgXe97MkNVNHtHic1,Lion,spotify:track:5yuzTsgXe97MkNVNHtHic1
55CM4N94dLiWIHhiLFF6nP,Spaceman,spotify:track:55CM4N94dLiWIHhiLFF6nP
31v5oITLjJPOPdRHflSDiA,Catharsis,spotify:track:31v5oITLjJPOPdRHflSDiA
4R7kepgELtN1VHMATK8w2L,HEY!,spotify:track:4R7kepgELtN1VHMATK8w2L
3FGiFUJRRp5RGikVrs6kig,Underdog,spotify:track:3FGiFUJRRp5RGikVrs6kig
0uFForNKQPvgSCnxlZIhQy,Let Me Get Me,spotify:track:0uFForNKQPvgSCnxlZIhQy
11Ey4yJVeWEsA73KjACkVY,Ring,spotify:track:11Ey4yJVeWEsA73KjACkVY
4JnZSWjyU0YfYJuHVnCElK,Diane Mozart,spotify:track:4JnZSWjyU0YfYJuHVnCElK
4UgLRXh1z9NorzrdawpIgj,Van Horn,spotify:track:4UgLRXh1z9NorzrdawpIgj
7tFa04zJGCdcRLmrXLThOe,Destroyer,spotify:track:7tFa04zJGCdcRLmrXLThOe
4Ye1sGoLNMTakduFIoDGqz,You Do It Well,spotify:track:4Ye1sGoLNMTakduFIoDGqz
26XUAwGZqQEyy8Ubhtj4kq,Feelin' Myself,spotify:track:26XUAwGZqQEyy8Ubhtj4kq
1P48tbboGkgiE6HPwguSOO,Open (feat. Cailin Russo),spotify:track:1P48tbboGkgiE6HPwguSOO
2Dn2ShjbwegTp2fT5HB7yK,VOICES [Feat. Lindsey Stirling],spotify:track:2Dn2ShjbwegTp2fT5HB7yK
3PcpDQwqxPcm3AvZJGg4Lt,KILLA KILLA,spotify:track:3PcpDQwqxPcm3AvZJGg4Lt
3Huko6jcH7RFtjJzQlIMuZ,Sola,spotify:track:3Huko6jcH7RFtjJzQlIMuZ
47GN1YkZF9CjORZqfSREbe,1983,spotify:track:47GN1YkZF9CjORZqfSREbe
4ti6cgvoMSjGf3yEsrWqdU,Something More,spotify:track:4ti6cgvoMSjGf3yEsrWqdU
5Jqcv4xD9onM8cL5hziuZc,Underworld,spotify:track:5Jqcv4xD9onM8cL5hziuZc
0reWNB4XwaA5fgZGH0X2Fn,Bullet with Butterfly Wings - Mixed,spotify:track:0reWNB4XwaA5fgZGH0X2Fn
1V0sfnuSjQTlsXezBGG3O6,Famous,spotify:track:1V0sfnuSjQTlsXezBGG3O6
3HW2DXQxM4bZcvvyqzYsqX,No ID,spotify:track:3HW2DXQxM4bZcvvyqzYsqX
7pPciGaYxP2FsFQCIBDEhb,Savage,spotify:track:7pPciGaYxP2FsFQCIBDEhb
5FXLIKdvJE29otScgM8VD4,Imitosis,spotify:track:5FXLIKdvJE29otScgM8VD4
1j6XqVdSE5KlgfOxfXwiGX,Pretty Waste,spotify:track:1j6XqVdSE5KlgfOxfXwiGX
7BaZHpJA6pv2KxiAkh9igc,Save Yourself,spotify:track:7BaZHpJA6pv2KxiAkh9igc
0jeJR3LdrC2QJNviq7wjzp,In Cold Blood,spotify:track:0jeJR3LdrC2QJNviq7wjzp
1q8NdCAQ9QUjpYiqzdd3mv,Atrévete-Te-Te,spotify:track:1q8NdCAQ9QUjpYiqzdd3mv
6HOF9utFQsbHsRbbdxb4gE,Crabs,spotify:track:6HOF9utFQsbHsRbbdxb4gE
5DEND7UgNW3dm8OOiigYSA,Pica,spotify:track:5DEND7UgNW3dm8OOiigYSA
7cpFmkNmh3MM0WqXPSbs9f,Suavemente,spotify:track:7cpFmkNmh3MM0WqXPSbs9f
24pSjHADYj6E7uXjc95a6i,I Wish I Knew Jesus - Like You Do,spotify:track:24pSjHADYj6E7uXjc95a6i
6qX65KYRlQmhDUnutgsEzF,Nobody Needs You Like I Do,spotify:track:6qX65KYRlQmhDUnutgsEzF
3NMel0L1RZfekf2wLABmj2,Wolf Totem (feat. Jacoby Shaddix of Papa Roach),spotify:track:3NMel0L1RZfekf2wLABmj2
3YuA8FkXCt8s3rz9Kdrdhy,Sex & Stardust,spotify:track:3YuA8FkXCt8s3rz9Kdrdhy
4vUmTMuQqjdnvlZmAH61Qk,South of the Border (feat. Camila Cabello & Cardi B),spotify:track:4vUmTMuQqjdnvlZmAH61Qk
10EG326kQV4oMl7iV8yMxX,Dangerous,spotify:track:10EG326kQV4oMl7iV8yMxX
56OlcivI8NJ4O0o0ScJ27F,Serpiente,spotify:track:56OlcivI8NJ4O0o0ScJ27F
